accommodates,bathrooms,bedrooms,beds,guests_included,price
0.25,0.125,0.1428,0.06665,0.13333333333333333,0.05
0.25,0.125,0.1428,0.06665,0.06666666666666667,0.15
0.6875,0.5625,0.7144,0.4666,0.6666666666666666,0.95
0.1875,0.125,0.0,0.1333,0.06666666666666667,0.1
0.375,0.25,0.4285,0.2,0.4,0.45
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.1
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.05
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.05
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.05
0.25,0.125,0.1428,0.06665,0.06666666666666667,0.15
0.125,0.125,0.1428,0.06665,0.13333333333333333,0.05
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.05
0.25,0.125,0.2856,0.2,0.06666666666666667,0.2
0.3125,0.125,0.2856,0.2,0.26666666666666666,0.15
1.0,0.4375,0.857,1.0,0.5333333333333333,0.45
0.3125,0.125,0.2856,0.1333,0.06666666666666667,0.1
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.05
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.05
0.125,0.25,0.1428,0.06665,0.06666666666666667,0.2
0.625,0.4375,0.7144,0.3333,0.06666666666666667,0.7
0.0625,0.125,0.1428,0.06665,0.06666666666666667,0.1
0.1875,0.1875,0.1428,0.1333,0.06666666666666667,0.05
0.5,0.25,0.5713,0.2666,0.06666666666666667,0.45
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.05
0.3125,0.3125,0.4285,0.2,0.06666666666666667,0.6
0.5,0.3125,0.4285,0.3333,0.4,0.45
0.3125,0.125,0.2856,0.2,0.06666666666666667,0.15
0.125,0.125,0.1428,0.06665,0.06666666666666667,0.0
0.375,0.25,0.4285,0.2,0.06666666666666667,0.3
0.1875,0.125,0.1428,0.1333,0.2,0.05
0.25,0.125,0.1428,0.06665,0.06666666666666667,0.15
0.375,0.1875,0.4285,0.2,0.4,0.3
0.25,0.375,0.4285,0.1333,0.06666666666666667,0.15
0.4375,0.4375,0.5713,0.2,0.4666666666666667,0.2
0.25,0.125,0.2856,0.1333,0.06666666666666667,0.15
0.25,0.125,0.1428,0.1333,0.13333333333333333,0.1
0.5,0.375,0.4285,0.2,0.4,0.3
0.0625,0.125,0.1428,0.06665,0.06666666666666667,0.0
0.25,0.125,0.1428,0.1333,0.13333333333333333,0.15
0.125,0.125,0.0,0.06665,0.06666666666666667,0.05
0.25,0.125,0.1428,0.1333,0.13333333333333333,0.1
0.1875,0.125,0.1428,0.1333,0.13333333333333333,0.1
0.25,0.1875,0.2856,0.1333,0.26666666666666666,0.35
0.1875,0.1875,0.1428,0.1333,0.06666666666666667,0.15
0.3125,0.125,0.1428,0.06665,0.06666666666666667,0.15
0.125,0.125,0.0,0.06665,0.06666666666666667,0.1
0.625,0.375,0.5713,0.2666,0.06666666666666667,0.3
0.125,0.125,0.0,0.06665,0.06666666666666667,0.1
0.25,0.125,0.1428,0.1333,0.13333333333333333,0.15
